,Open,High,Low,Close,Adj Close,Volume
2021-01-04,2576.25,2706.25,2568.75,2619.112548828125,2618.825927734375,6868.0
2021-01-05,2677.0,2677.0,2637.50244140625,2661.75244140625,2661.461181640625,892.0
2021-01-06,2666.25,2666.25,2477.75,2485.632568359375,2485.36083984375,6124.0
2021-01-07,2500.00244140625,2677.5,2500.00244140625,2676.982421875,2676.690185546875,8140.0
2021-01-08,2638.0,2663.0,2624.5,2645.37255859375,2645.083251953125,7868.0
2021-01-09,2662.833333333333,2709.41748046875,2653.833333333333,2677.01171875,2676.719075520833,10685.333333333332
2021-01-10,2687.6666666666665,2755.8349609375,2683.1666666666665,2708.65087890625,2708.3548990885415,13502.666666666666
2021-01-11,2712.5,2802.25244140625,2712.5,2740.2900390625,2739.99072265625,16320.0
2021-01-12,2705.0,2724.75,2666.25,2666.25,2665.958740234375,2320.0
2021-01-13,2666.25,2692.800048828125,2665.00244140625,2689.4951171875,2689.200927734375,6260.0
2021-01-14,2663.75,2663.75,2598.75,2598.75,2598.466064453125,4288.0
2021-01-15,2608.75,2616.7451171875,2547.5,2547.5,2547.221435546875,8348.0
2021-01-16,2597.5,2640.330078125,2540.0,2540.0,2539.7223307291665,5638.666666666666
2021-01-17,2586.25,2663.9150390625,2532.5,2532.5,2532.223225911458,2929.333333333333
2021-01-18,2575.0,2687.5,2525.0,2525.0,2524.72412109375,220.0
2021-01-19,2570.75,2570.75,2530.0,2562.802490234375,2562.52197265625,9816.0
2021-01-20,2609.25,2625.49755859375,2592.655029296875,2625.0,2624.712890625,31016.0
2021-01-21,2650.0,2750.0,2650.0,2738.842529296875,2738.543212890625,7360.0
2021-01-22,2712.5,2755.0,2712.5,2740.0,2739.70068359375,10356.0
2021-01-23,2730.2916666666665,2761.6708170572915,2698.9508463541665,2739.489990234375,2739.190673828125,9630.666666666666
2021-01-24,2748.083333333333,2768.341634114583,2685.401692708333,2738.97998046875,2738.6806640625,8905.333333333332
2021-01-25,2765.875,2775.012451171875,2671.8525390625,2738.469970703125,2738.170654296875,8180.0
2021-01-26,2724.777587890625,2724.777587890625,2680.0,2682.612548828125,2682.319091796875,3372.0
2021-01-27,2652.0,2652.0,2600.0,2610.29248046875,2610.00732421875,9772.0
2021-01-28,2658.625,2678.58740234375,2637.5,2638.800048828125,2638.51123046875,1716.0
2021-01-29,2625.0,2677.5,2603.6923828125,2674.367431640625,2674.0751953125,5384.0
2021-01-30,2650.703125,2690.818115234375,2626.519287109375,2688.2962036132812,2688.0023193359375,6015.0
2021-01-31,2676.40625,2704.13623046875,2649.34619140625,2702.2249755859375,2701.929443359375,6646.0
2021-02-01,2702.109375,2717.454345703125,2672.173095703125,2716.1537475585938,2715.8565673828125,7277.0
2021-02-02,2727.8125,2730.7724609375,2695.0,2730.08251953125,2729.78369140625,7908.0
2021-02-03,2764.99755859375,2800.0,2737.5,2737.5,2737.20068359375,5932.0
2021-02-04,2753.702392578125,2792.137451171875,2705.00244140625,2774.550048828125,2774.246337890625,4716.0
2021-02-05,2750.0,2750.0,2725.027587890625,2734.324951171875,2734.026123046875,2212.0
2021-02-06,2748.333333333333,2803.2900390625,2731.68505859375,2791.404134114583,2791.099202473958,10565.333333333332
2021-02-07,2746.6666666666665,2856.580078125,2738.342529296875,2848.4833170572915,2848.1722819010415,18918.666666666664
2021-02-08,2745.0,2909.8701171875,2745.0,2905.5625,2905.245361328125,27272.0
2021-02-09,2875.0,2925.0,2850.00244140625,2867.405029296875,2867.091552734375,10472.0
2021-02-10,2875.012451171875,2981.74755859375,2875.012451171875,2951.89990234375,2951.5771484375,24496.0
2021-02-11,2981.625,3043.87255859375,2981.625,3038.695068359375,3038.363037109375,159360.0
2021-02-12,3010.5,3050.0,2950.00244140625,2986.72509765625,2986.398681640625,59728.0
